NUM,L1_DCM,L2_TCM,L3_TCM
1,19.3,74.0,28.4
2,21.3,74.7,27.1
3,22.4,77.7,26.2
4,28.4,80.8,27.3
5,32.5,83.3,28.8
6,33.7,86.9,25.4
7,37.7,84.3,25.0
8,47.5,85.6,26.9
9,51.8,90.7,25.4
10,56.3,101.3,21.7
11,69.9,98.8,24.0
12,75.6,98.8,27.0
13,85.4,112.7,30.6
14,93.9,102.2,27.2
15,105.7,110.4,28.1
16,124.7,110.7,29.0
17,133.1,116.1,27.5
18,145.8,121.9,26.9
19,161.1,127.6,26.6
20,175.1,128.4,26.3
21,193.3,124.2,26.2
22,205.2,130.8,23.2
23,226.1,137.2,20.0
24,186.7,137.1,22.5
25,263.7,133.0,33.9
26,281.5,144.9,29.4
27,248.8,146.2,25.2
28,323.7,144.9,14.6
29,295.6,157.0,20.2
30,316.0,164.9,17.8
31,343.4,155.1,15.9
32,377.5,169.8,19.6
33,340.0,165.5,16.0
34,424.9,170.8,19.1
35,403.2,168.2,20.0
36,479.0,192.9,21.6
37,490.1,188.8,16.1
38,553.5,202.9,29.8
39,539.1,213.9,32.4
40,563.1,205.7,32.5
41,651.9,220.4,29.5
42,694.0,223.6,19.7
43,708.5,218.8,37.8
44,812.9,230.7,26.0
45,851.6,265.1,27.0
46,953.6,257.4,35.0
47,1156.7,253.2,24.0
48,1245.0,239.4,29.4
49,1402.9,238.9,26.1
50,1507.1,267.0,39.0
51,1754.8,255.5,28.8
52,2002.4,269.1,30.7
53,2366.4,262.6,51.9
54,2842.3,263.1,39.1
55,2680.8,259.7,28.8
56,3145.1,287.1,31.0
57,3931.0,261.3,27.7
58,4047.6,299.9,31.0
59,4597.2,300.8,40.9
60,6546.6,288.5,39.9
61,8102.0,306.7,32.2
62,10035.9,310.3,37.2
63,12289.4,278.4,26.0
64,12387.5,341.1,29.2
65,21192.5,326.3,58.8
66,27124.9,349.0,32.9
67,33612.9,365.6,44.5
68,38486.1,360.5,40.3
69,40211.4,383.2,45.6
70,42049.6,376.0,45.9
71,43867.1,419.0,47.1
72,45960.5,386.7,40.8
73,48049.3,384.7,28.7
74,50105.8,352.3,30.9
75,51886.7,410.1,32.6
76,53991.1,439.9,52.0
77,56123.4,428.4,48.3
78,58370.4,449.5,58.4
79,60653.6,486.9,50.2
80,63152.7,415.4,40.6
81,65430.1,452.7,36.9
82,67979.0,435.7,31.4
83,70601.3,431.1,31.9
84,73112.8,477.9,29.5
85,75879.9,462.9,33.5
86,78489.7,438.2,43.9
87,81296.2,500.7,36.7
88,84243.0,513.5,74.9
89,87199.3,508.4,36.8
90,89938.0,581.2,72.6
91,92973.6,600.6,59.3
92,96105.0,610.3,82.6
93,99414.6,606.2,65.4
94,102618.4,589.9,54.7
95,105937.6,585.5,48.9
96,110041.4,660.3,94.6
97,113614.2,667.2,55.5
98,116641.5,626.3,63.9
99,120046.5,594.2,42.0
100,123600.1,823.7,98.0
101,127405.3,757.5,67.0
102,131768.6,867.3,150.3
103,136000.9,822.6,67.6
104,139483.8,609.6,71.0
105,143278.2,939.6,95.5
106,147408.3,874.8,109.8
107,152814.9,1011.7,104.5
108,156227.1,622.2,74.1
109,160338.7,880.4,83.4
110,165005.7,1082.5,84.3
111,170249.1,963.6,107.5
112,174334.3,1240.3,117.1
113,178763.3,1032.1,109.7
114,184638.1,890.1,106.0
115,188569.1,1186.7,106.4
116,193618.7,1010.6,139.7
117,199476.4,1180.7,79.9
118,203748.2,1160.7,105.9
119,209905.6,1241.8,121.3
120,214691.4,1363.5,199.9
121,219680.4,1353.0,80.7
122,226232.7,1294.9,34.5
123,230857.5,1340.8,34.8
124,238379.3,1310.5,115.3
125,242364.5,1548.1,34.9
126,249847.3,1721.4,35.4
127,254228.9,1893.1,35.5
128,263317.3,1673.9,33.2
129,266576.7,2673.1,52.3
130,274466.2,2328.7,37.9
131,279218.8,1783.8,34.4
132,287675.9,1740.4,39.0
133,292151.2,1775.6,39.4
134,300192.0,2660.3,137.8
135,305549.1,2268.2,38.4
136,312963.8,2955.1,150.8
