NUM,L1_DCM,L2_TCM,L3_TCM
1,20.4,72.7,18.8
2,20.6,71.1,2.2
3,26.4,77.5,4.6
4,26.9,76.5,5.1
5,30.6,78.0,5.4
6,38.1,84.3,3.1
7,39.9,82.6,3.7
8,46.5,81.0,27.9
9,51.2,78.3,14.8
10,55.5,86.0,3.3
11,67.6,91.1,4.9
12,76.5,97.6,4.7
13,86.3,97.7,16.0
14,95.4,100.1,23.7
15,104.2,96.3,7.7
16,119.1,113.0,4.9
17,128.1,115.3,2.7
18,142.2,114.7,5.9
19,159.1,122.2,4.0
20,175.5,127.7,3.7
21,189.8,138.7,5.8
22,203.5,138.6,3.6
23,223.3,136.8,6.3
24,240.5,133.7,5.9
25,207.1,157.3,8.4
26,279.9,162.6,16.0
27,301.8,163.9,22.0
28,280.4,158.5,17.5
29,298.0,172.9,9.4
30,369.4,172.7,12.9
31,342.6,195.3,17.9
32,387.8,186.6,18.2
33,398.1,198.9,17.7
34,425.7,209.7,24.5
35,453.2,216.1,21.4
36,456.2,222.7,18.6
37,476.4,234.1,45.1
38,512.4,233.8,70.5
39,564.8,250.4,30.7
40,614.2,262.6,41.0
41,629.9,284.6,48.3
42,700.9,292.5,45.6
43,697.6,269.7,25.2
44,792.2,292.1,32.0
45,865.8,331.4,44.6
46,959.4,331.0,57.5
47,1097.9,338.6,65.4
48,1267.5,329.9,57.9
49,1435.7,342.4,46.2
50,1535.2,362.7,49.9
51,1594.5,386.2,74.0
52,1895.6,346.7,69.3
53,2569.2,388.9,43.8
54,2218.6,364.5,77.3
55,2758.3,380.4,39.9
56,2875.5,325.3,47.0
57,5274.0,404.5,87.0
58,4813.0,392.6,48.5
59,4281.5,382.9,66.3
60,6485.2,388.2,90.9
61,7391.3,393.7,70.3
62,9191.8,456.5,56.2
63,11336.9,363.7,62.8
64,75537.7,423.6,107.5
65,21060.8,508.9,152.5
66,28528.5,470.6,151.3
67,34782.1,496.7,72.4
68,39932.0,443.7,63.7
69,41481.8,533.5,98.0
70,35928.8,510.2,74.2
71,45217.2,486.2,74.4
72,46870.2,546.6,105.3
73,58931.9,609.7,147.3
74,50177.1,613.2,132.0
75,53116.4,616.5,127.6
76,46840.9,613.4,144.8
77,57684.1,600.0,115.9
78,60068.3,658.7,162.8
79,61362.4,592.8,29.6
80,65561.7,588.1,84.8
81,66962.5,706.9,189.6
82,62198.9,638.9,128.9
83,72771.3,683.0,94.0
84,74576.2,691.6,118.2
85,81145.7,804.3,213.1
86,79713.5,799.7,163.0
87,83744.4,714.6,149.0
88,86416.2,801.2,184.9
89,91888.4,938.8,195.5
90,93197.8,880.5,389.5
91,95205.8,816.9,184.7
92,99139.6,840.8,149.1
93,125898.9,853.1,188.6
94,105333.6,902.5,160.9
95,108351.1,834.3,161.6
96,141289.0,912.2,208.3
97,116379.9,961.5,168.6
98,119465.0,1155.9,194.8
99,123969.6,1231.6,303.6
100,127311.6,887.1,98.0
101,131923.2,1435.3,338.3
102,139852.7,1234.1,269.9
103,136174.5,1449.3,262.4
104,143459.0,1266.4,266.0
105,148081.1,1183.1,218.3
106,156426.6,2310.0,244.8
107,155827.1,1789.3,188.4
108,159366.9,1587.8,257.3
109,163960.9,1411.0,288.6
110,168219.5,1960.2,454.6
111,174940.9,1733.9,406.7
112,182660.3,1405.2,356.7
113,184903.8,2265.5,430.4
114,225804.3,1675.0,229.1
115,193585.6,1914.5,226.3
116,198710.1,2968.5,366.1
117,204470.1,2147.5,236.8
118,213566.8,5392.6,236.4
119,214356.3,2140.2,402.1
120,220066.9,2378.0,381.9
121,226993.9,4684.7,291.7
122,284041.2,6137.9,372.8
123,238857.2,4136.9,326.9
124,245436.8,2862.9,338.8
125,250017.6,7304.2,205.1
126,256558.3,4164.4,360.8
127,263653.4,5400.2,651.4
128,2144211.1,195451.4,778.1
129,272897.6,6695.3,351.7
130,279911.7,7674.5,1191.6
131,288933.4,10812.2,762.5
